import_id,import_date,shop_id
0,2012-01-01,54
1,2012-01-01,55
2,2012-01-01,54
3,2012-01-01,54
4,2012-01-01,54
5,2012-01-01,54
6,2012-01-01,54
7,2012-01-01,54
8,2012-01-01,54
9,2012-01-01,54
10,2012-01-01,54
11,2012-01-01,54
12,2012-01-01,54
13,2012-01-01,54
14,2012-01-01,54
15,2012-01-01,54
16,2012-01-01,56
17,2012-01-01,44
18,2012-01-01,25
19,2012-01-01,25
20,2012-01-01,54
21,2012-01-01,54
22,2012-01-01,54
23,2012-01-01,54
24,2012-01-01,54
25,2012-01-01,54
26,2012-01-01,31
27,2012-01-01,19
28,2012-01-01,15
29,2012-01-01,28
30,2012-01-01,50
31,2012-01-01,50
32,2012-01-01,24
33,2012-01-01,24
34,2012-01-01,24
35,2012-01-01,25
36,2012-01-01,42
37,2012-01-01,42
38,2012-01-01,54
39,2012-01-01,15
40,2012-01-01,28
41,2012-01-01,21
42,2012-01-01,25
43,2012-01-01,28
44,2012-01-01,25
45,2012-01-01,24
46,2012-01-01,6
47,2012-01-01,19
48,2012-01-01,25
49,2012-01-01,24
50,2012-01-01,25
51,2012-01-01,24
52,2012-01-01,25
53,2012-01-01,25
54,2012-01-01,25
55,2012-01-01,6
56,2012-01-01,28
57,2012-01-01,16
58,2012-01-01,55
59,2012-01-01,25
60,2012-01-01,24
61,2012-01-01,0
62,2012-01-01,35
63,2012-01-01,23
64,2012-01-01,28
65,2012-01-01,25
66,2012-01-01,25
67,2012-01-01,28
68,2012-01-01,26
69,2012-01-01,55
70,2012-01-01,29
71,2012-01-01,42
72,2012-01-01,25
73,2012-01-01,16
74,2012-01-01,42
75,2012-01-01,25
76,2012-01-01,27
77,2012-01-01,27
78,2012-01-01,43
79,2012-01-01,19
80,2012-01-01,54
81,2012-01-01,27
82,2012-01-01,57
84,2012-01-01,51
85,2012-01-01,24
86,2012-01-01,18
87,2012-01-01,42
88,2012-01-01,25
89,2012-01-01,25
90,2012-01-01,5
91,2012-01-01,6
92,2012-01-01,46
93,2012-01-01,25
94,2012-01-01,4
95,2012-01-01,23
96,2012-01-01,19
97,2012-01-01,51
98,2012-01-01,24
99,2012-01-01,25
100,2012-01-01,31
101,2012-01-01,55
102,2012-01-01,55
103,2012-01-01,55
104,2012-01-01,55
105,2012-01-01,22
106,2012-01-01,22
107,2012-01-01,55
108,2012-01-01,55
109,2012-01-01,54
110,2012-01-01,55
111,2012-01-01,25
112,2012-01-01,55
113,2012-01-01,25
114,2012-01-01,55
115,2012-01-01,4
116,2012-01-01,12
117,2012-01-01,55
118,2012-01-01,55
119,2012-01-01,55
120,2012-01-01,55
121,2012-01-01,55
122,2012-01-01,55
123,2012-01-01,55
124,2012-01-01,55
125,2012-01-01,55
126,2012-01-01,55
127,2012-01-01,55
128,2012-01-01,55
129,2012-01-01,55
130,2012-01-01,55
131,2012-01-01,55
132,2012-01-01,55
133,2012-01-01,22
134,2012-01-01,12
135,2012-01-01,28
136,2012-01-01,25
137,2012-01-01,55
138,2012-01-01,28
139,2012-01-01,25
141,2012-01-01,55
142,2012-01-01,25
143,2012-01-01,12
144,2012-01-01,55
145,2012-01-01,55
146,2012-01-01,55
147,2012-01-01,55
148,2012-01-01,55
149,2012-01-01,25
150,2012-01-01,55
151,2012-01-01,24
152,2012-01-01,28
153,2012-01-01,25
154,2012-01-01,24
155,2012-01-01,24
156,2012-01-01,24
157,2012-01-01,55
158,2012-01-01,55
159,2012-01-01,55
160,2012-01-01,55
161,2012-01-01,55
162,2012-01-01,46
163,2012-01-01,55
164,2012-01-01,55
165,2012-01-01,12
166,2012-01-01,42
167,2012-01-01,55
169,2012-01-01,55
170,2012-01-01,5
171,2012-01-01,42
172,2012-01-01,42
174,2012-01-01,55
175,2012-01-01,13
176,2012-01-01,59
177,2012-01-01,23
178,2012-01-01,53
179,2012-01-01,19
180,2012-01-01,55
181,2012-01-01,55
182,2012-01-01,55
183,2012-01-01,55
184,2012-01-01,55
185,2012-01-01,55
186,2012-01-01,55
187,2012-01-01,55
188,2012-01-01,55
189,2012-01-01,55
190,2012-01-01,55
191,2012-01-01,55
192,2012-01-01,55
193,2012-01-01,55
194,2012-01-01,55
195,2012-01-01,55
196,2012-01-01,55
197,2012-01-01,4
198,2012-01-01,0
199,2012-01-01,23
200,2012-01-01,16
201,2012-01-01,55
202,2012-01-01,25
203,2012-01-01,55
205,2012-01-01,31
206,2012-01-01,55
207,2012-01-01,31
208,2012-01-01,55
209,2012-01-01,55
210,2012-01-01,25
211,2012-01-01,55
212,2012-01-01,55
213,2012-01-01,25
214,2012-01-01,55
215,2012-01-01,28
216,2012-01-01,55
217,2012-01-01,55
218,2012-01-01,27
219,2012-01-01,25
220,2012-01-01,55
221,2012-01-01,55
222,2012-01-01,55
223,2012-01-01,55
224,2012-01-01,54
225,2012-01-01,56
226,2012-01-01,31
227,2012-01-01,55
228,2012-01-01,21
229,2012-01-01,55
230,2012-01-01,10
231,2012-01-01,55
232,2012-01-01,27
233,2012-01-01,27
234,2012-01-01,31
235,2012-01-01,27
236,2012-01-01,19
238,2012-01-01,31
239,2012-01-01,55
240,2012-01-01,55
241,2012-01-01,55
242,2012-01-01,55
243,2012-01-01,30
244,2012-01-01,28
245,2012-01-01,55
246,2012-01-01,31
247,2012-01-01,19
248,2012-01-01,21
250,2012-01-01,55
251,2012-01-01,55
252,2012-01-01,46
253,2012-01-01,28
255,2012-01-01,55
256,2012-01-01,55
257,2012-01-01,24
258,2012-01-01,24
259,2012-01-01,25
260,2012-01-01,55
261,2012-01-01,55
262,2012-01-01,55
263,2012-01-01,52
264,2012-01-01,45
265,2012-01-01,27
266,2012-01-01,55
267,2012-01-01,25
268,2012-01-01,55
269,2012-01-01,31
270,2012-01-01,31
271,2012-01-01,55
272,2012-01-01,12
273,2012-01-01,21
274,2012-01-01,55
275,2012-01-01,55
276,2012-01-01,25
277,2012-01-01,23
278,2012-01-01,27
279,2012-01-01,55
280,2012-01-01,27
281,2012-01-01,12
282,2012-01-01,29
283,2012-01-01,25
284,2012-01-01,25
285,2012-01-01,12
286,2012-01-01,55
287,2012-01-01,55
288,2012-01-01,55
289,2012-01-01,55
290,2012-01-01,27
291,2012-01-01,55
292,2012-01-01,31
293,2012-01-01,31
294,2012-01-01,42
295,2012-01-01,54
296,2012-01-01,55
297,2012-01-01,56
298,2012-01-01,22
299,2012-01-01,55
300,2012-01-01,55
301,2012-01-01,55
303,2012-01-01,13
304,2012-01-01,55
305,2012-01-01,55
306,2012-01-01,25
307,2012-01-01,55
308,2012-01-01,25
309,2012-01-01,55
310,2012-01-01,27
311,2012-01-01,27
312,2012-01-01,27
313,2012-01-01,51
314,2012-01-01,24
315,2012-01-01,25
316,2012-01-01,30
317,2012-01-01,25
318,2012-01-01,12
319,2012-01-01,12
320,2012-01-01,22
321,2012-01-01,25
322,2012-01-01,31
323,2012-01-01,55
324,2012-01-01,31
325,2012-01-01,25
326,2012-01-01,27
327,2012-01-01,55
328,2012-01-01,27
329,2012-01-01,27
330,2012-01-01,55
331,2012-01-01,12
332,2012-01-01,55
333,2012-01-01,27
334,2012-01-01,55
335,2012-01-01,22
336,2012-01-01,55
337,2012-01-01,55
338,2012-01-01,55
339,2012-01-01,55
340,2012-01-01,55
341,2012-01-01,55
342,2012-01-01,55
343,2012-01-01,55
344,2012-01-01,55
345,2012-01-01,55
346,2012-01-01,55
347,2012-01-01,55
348,2012-01-01,55
349,2012-01-01,55
350,2012-01-01,55
351,2012-01-01,0
352,2012-01-01,55
353,2012-01-01,12
354,2012-01-01,22
355,2012-01-01,55
356,2012-01-01,31
357,2012-01-01,52
358,2012-01-01,55
359,2012-01-01,55
360,2012-01-01,55
361,2012-01-01,55
362,2012-01-01,55
363,2012-01-01,46
364,2012-01-01,55
365,2012-01-01,27
366,2012-01-01,28
367,2012-01-01,46
368,2012-01-01,46
369,2012-01-01,27
370,2012-01-01,27
371,2012-01-01,54
372,2012-01-01,24
373,2012-01-01,10
374,2012-01-01,55
375,2012-01-01,25
376,2012-01-01,46
377,2012-01-01,12
378,2012-01-01,21
379,2012-01-01,55
380,2012-01-01,46
381,2012-01-01,55
382,2012-01-01,27
383,2012-01-01,55
384,2012-01-01,23
385,2012-01-01,28
386,2012-01-01,31
387,2012-01-01,24
388,2012-01-01,8
389,2012-01-01,25
390,2012-01-01,12
391,2012-01-01,27
392,2012-01-01,31
393,2012-01-01,22
394,2012-01-01,55
395,2012-01-01,55
396,2012-01-01,55
397,2012-01-01,12
398,2012-01-01,12
399,2012-01-01,12
400,2012-01-01,55
401,2012-01-01,27
403,2012-01-01,55
404,2012-01-01,55
405,2012-01-01,42
406,2012-01-01,56
407,2012-01-01,24
408,2012-01-01,23
409,2012-01-01,42
410,2012-01-01,24
411,2012-01-01,27
412,2012-01-01,55
413,2012-01-01,16
414,2012-01-01,31
415,2012-01-01,55
416,2012-01-01,55
417,2012-01-01,27
418,2012-01-01,27
419,2012-01-01,12
420,2012-01-01,55
421,2012-01-01,25
422,2012-01-01,55
423,2012-01-01,28
424,2012-01-01,25
425,2012-01-01,27
426,2012-01-01,27
427,2012-01-01,27
429,2012-01-01,22
431,2012-01-01,27
432,2012-01-01,12
433,2012-01-01,12
434,2012-01-01,55
435,2012-01-01,13
436,2012-01-01,31
437,2012-01-01,55
438,2012-01-01,0
439,2012-01-01,25
440,2012-01-01,22
441,2012-01-01,27
442,2012-01-01,12
443,2012-01-01,22
444,2012-01-01,19
445,2012-01-01,25
446,2012-01-01,55
447,2012-01-01,55
448,2012-01-01,21
449,2012-01-01,27
450,2012-01-01,22
451,2012-01-01,25
452,2012-01-01,55
453,2012-01-01,23
455,2012-01-01,55
456,2012-01-01,24
457,2012-01-01,46
458,2012-01-01,27
459,2012-01-01,27
460,2012-01-01,22
461,2012-01-01,31
462,2012-01-01,6
463,2012-01-01,55
464,2012-01-01,22
465,2012-01-01,12
466,2012-01-01,12
467,2012-01-01,38
468,2012-01-01,22
469,2012-01-01,22
470,2012-01-01,55
471,2012-01-01,25
472,2012-01-01,25
473,2012-01-01,37
474,2012-01-01,12
475,2012-01-01,12
476,2012-01-01,12
477,2012-01-01,12
478,2012-01-01,22
479,2012-01-01,22
481,2012-01-01,24
482,2012-01-01,24
483,2012-01-01,12
484,2012-01-01,24
485,2012-01-01,38
486,2012-01-01,6
487,2012-01-01,22
488,2012-01-01,55
489,2012-01-01,22
490,2012-01-01,55
491,2012-01-01,22
492,2012-01-01,55
493,2012-01-01,55
494,2012-01-01,42
495,2012-01-01,55
496,2012-01-01,24
497,2012-01-01,55
498,2012-01-01,24
499,2012-01-01,22
500,2012-01-01,22
501,2012-01-01,55
502,2012-01-01,55
503,2012-01-01,55
504,2012-01-01,55
505,2012-01-01,55
506,2012-01-01,55
507,2012-01-01,55
508,2012-01-01,55
509,2012-01-01,55
510,2012-01-01,22
511,2012-01-01,55
512,2012-01-01,55
