import_id,item_id,import_amount
0,0,300
1,1,300
2,2,300
3,3,300
4,4,300
5,5,300
6,6,300
7,7,300
8,8,300
9,9,300
10,10,300
11,11,300
12,12,300
13,13,300
14,14,300
15,15,300
16,16,300
17,17,300
18,18,300
19,19,300
20,20,300
21,21,300
22,22,300
23,23,300
24,24,300
25,25,300
26,26,300
27,27,300
28,28,300
29,29,300
30,30,300
31,31,300
32,32,300
33,33,300
34,34,300
35,35,300
36,36,300
37,37,300
38,38,300
39,39,300
40,40,300
41,41,300
42,42,300
43,43,300
44,44,300
45,45,300
46,46,300
47,47,300
48,48,300
49,49,300
50,50,300
51,51,300
52,52,300
53,53,300
54,54,300
55,55,300
56,56,300
57,57,300
58,58,300
59,59,300
60,60,300
61,61,300
62,62,300
63,63,300
64,64,300
65,65,300
66,66,300
67,67,300
68,68,300
69,69,300
70,70,300
71,71,300
72,72,300
73,73,300
74,74,300
75,75,300
76,76,300
77,77,300
78,78,300
79,79,300
80,80,300
81,81,300
82,82,300
84,84,300
85,85,300
86,86,300
87,87,300
88,88,300
89,89,300
90,90,300
91,91,300
92,92,300
93,93,300
94,94,300
95,95,300
96,96,300
97,97,300
98,98,300
99,99,300
100,100,300
101,101,300
102,102,300
103,103,300
104,104,300
105,105,300
106,106,300
107,107,300
108,108,300
109,109,300
110,110,300
111,111,300
112,112,300
113,113,300
114,114,300
115,115,300
116,116,300
117,117,300
118,118,300
119,119,300
120,120,300
121,121,300
122,122,300
123,123,300
124,124,300
125,125,300
126,126,300
127,127,300
128,128,300
129,129,300
130,130,300
131,131,300
132,132,300
133,133,300
134,134,300
135,135,300
136,136,300
137,137,300
138,138,300
139,139,300
141,141,300
142,142,300
143,143,300
144,144,300
145,145,300
146,146,300
147,147,300
148,148,300
149,149,300
150,150,300
151,151,300
152,152,300
153,153,300
154,154,300
155,155,300
156,156,300
157,157,300
158,158,300
159,159,300
160,160,300
161,161,300
162,162,300
163,163,300
164,164,300
165,165,300
166,166,300
167,167,300
169,169,300
170,170,300
171,171,300
172,172,300
174,174,300
175,175,300
176,176,300
177,177,300
178,178,300
179,179,300
180,180,300
181,181,300
182,182,300
183,183,300
184,184,300
185,185,300
186,186,300
187,187,300
188,188,300
189,189,300
190,190,300
191,191,300
192,192,300
193,193,300
194,194,300
195,195,300
196,196,300
197,197,300
198,198,300
199,199,300
200,200,300
201,201,300
202,202,300
203,203,300
205,205,300
206,206,300
207,207,300
208,208,300
209,209,300
210,210,300
211,211,300
212,212,300
213,213,300
214,214,300
215,215,300
216,216,300
217,217,300
218,218,300
219,219,300
220,220,300
221,221,300
222,222,300
223,223,300
224,224,300
225,225,300
226,226,300
227,227,300
228,228,300
229,229,300
230,230,300
231,231,300
232,232,300
233,233,300
234,234,300
235,235,300
236,236,300
238,238,300
239,239,300
240,240,300
241,241,300
242,242,300
243,243,300
244,244,300
245,245,300
246,246,300
247,247,300
248,248,300
250,250,300
251,251,300
252,252,300
253,253,300
255,255,300
256,256,300
257,257,300
258,258,300
259,259,300
260,260,300
261,261,300
262,262,300
263,263,300
264,264,300
265,265,300
266,266,300
267,267,300
268,268,300
269,269,300
270,270,300
271,271,300
272,272,300
273,273,300
274,274,300
275,275,300
276,276,300
277,277,300
278,278,300
279,279,300
280,280,300
281,281,300
282,282,300
283,283,300
284,284,300
285,285,300
286,286,300
287,287,300
288,288,300
289,289,300
290,290,300
291,291,300
292,292,300
293,293,300
294,294,300
295,295,300
296,296,300
297,297,300
298,298,300
299,299,300
300,300,300
301,301,300
303,303,300
304,304,300
305,305,300
306,306,300
307,307,300
308,308,300
309,309,300
310,310,300
311,311,300
312,312,300
313,313,300
314,314,300
315,315,300
316,316,300
317,317,300
318,318,300
319,319,300
320,320,300
321,321,300
322,322,300
323,323,300
324,324,300
325,325,300
326,326,300
327,327,300
328,328,300
329,329,300
330,330,300
331,331,300
332,332,300
333,333,300
334,334,300
335,335,300
336,336,300
337,337,300
338,338,300
339,339,300
340,340,300
341,341,300
342,342,300
343,343,300
344,344,300
345,345,300
346,346,300
347,347,300
348,348,300
349,349,300
350,350,300
351,351,300
352,352,300
353,353,300
354,354,300
355,355,300
356,356,300
357,357,300
358,358,300
359,359,300
360,360,300
361,361,300
362,362,300
363,363,300
364,364,300
365,365,300
366,366,300
367,367,300
368,368,300
369,369,300
370,370,300
371,371,300
372,372,300
373,373,300
374,374,300
375,375,300
376,376,300
377,377,300
378,378,300
379,379,300
380,380,300
381,381,300
382,382,300
383,383,300
384,384,300
385,385,300
386,386,300
387,387,300
388,388,300
389,389,300
390,390,300
391,391,300
392,392,300
393,393,300
394,394,300
395,395,300
396,396,300
397,397,300
398,398,300
399,399,300
400,400,300
401,401,300
403,403,300
404,404,300
405,405,300
406,406,300
407,407,300
408,408,300
409,409,300
410,410,300
411,411,300
412,412,300
413,413,300
414,414,300
415,415,300
416,416,300
417,417,300
418,418,300
419,419,300
420,420,300
421,421,300
422,422,300
423,423,300
424,424,300
425,425,300
426,426,300
427,427,300
429,429,300
431,431,300
432,432,300
433,433,300
434,434,300
435,435,300
436,436,300
437,437,300
438,438,300
439,439,300
440,440,300
441,441,300
442,442,300
443,443,300
444,444,300
445,445,300
446,446,300
447,447,300
448,448,300
449,449,300
450,450,300
451,451,300
452,452,300
453,453,300
455,455,300
456,456,300
457,457,300
458,458,300
459,459,300
460,460,300
461,461,300
462,462,300
463,463,300
464,464,300
465,465,300
466,466,300
467,467,300
468,468,300
469,469,300
470,470,300
471,471,300
472,472,300
473,473,300
474,474,300
475,475,300
476,476,300
477,477,300
478,478,300
479,479,300
481,481,300
482,482,300
483,483,300
484,484,300
485,485,300
486,486,300
487,487,300
488,488,300
489,489,300
490,490,300
491,491,300
492,492,300
493,493,300
494,494,300
495,495,300
496,496,300
497,497,300
498,498,300
499,499,300
500,500,300
501,501,300
502,502,300
503,503,300
504,504,300
505,505,300
506,506,300
507,507,300
508,508,300
509,509,300
510,510,300
511,511,300
512,512,300
513,513,300
514,514,300
515,515,300
516,516,300
517,517,300
518,518,300
519,519,300
520,520,300
521,521,300
522,522,300
523,523,300
524,524,300
525,525,300
526,526,300
527,527,300
528,528,300
529,529,300
530,530,300
531,531,300
532,532,300
533,533,300
534,534,300
535,535,300
536,536,300
537,537,300
538,538,300
539,539,300
540,540,300
541,541,300
542,542,300
543,543,300
544,544,300
545,545,300
546,546,300
547,547,300
548,548,300
549,549,300
550,550,300
551,551,300
552,552,300
553,553,300
554,554,300
555,555,300
556,556,300
557,557,300
558,558,300
559,559,300
560,560,300
561,561,300
562,562,300
563,563,300
564,564,300
565,565,300
567,567,300
568,568,300
569,569,300
570,570,300
571,571,300
572,572,300
573,573,300
574,574,300
575,575,300
576,576,300
577,577,300
578,578,300
579,579,300
580,580,300
581,581,300
582,582,300
583,583,300
584,584,300
585,585,300
586,586,300
587,587,300
588,588,300
589,589,300
590,590,300
591,591,300
592,592,300
593,593,300
594,594,300
595,595,300
596,596,300
597,597,300
598,598,300
599,599,300
600,600,300
601,601,300
602,602,300
603,603,300
604,604,300
605,605,300
606,606,300
607,607,300
608,608,300
609,609,300
610,610,300
611,611,300
612,612,300
613,613,300
614,614,300
615,615,300
616,616,300
617,617,300
618,618,300
619,619,300
620,620,300
621,621,300
622,622,300
623,623,300
624,624,300
625,625,300
626,626,300
627,627,300
628,628,300
629,629,300
630,630,300
631,631,300
632,632,300
633,633,300
634,634,300
635,635,300
636,636,300
637,637,300
638,638,300
641,641,300
642,642,300
643,643,300
644,644,300
645,645,300
646,646,300
647,647,300
648,648,300
649,649,300
650,650,300
651,651,300
652,652,300
653,653,300
654,654,300
655,655,300
656,656,300
657,657,300
658,658,300
659,659,300
660,660,300
661,661,300
662,662,300
663,663,300
664,664,300
665,665,300
666,666,300
667,667,300
668,668,300
669,669,300
670,670,300
671,671,300
672,672,300
673,673,300
674,674,300
675,675,300
676,676,300
677,677,300
678,678,300
679,679,300
680,680,300
681,681,300
