item_id,item_name,quantity,item_category_id,shop_id
0,! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,189,40,54
1,"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",36,76,55
2,***В ЛУЧАХ СЛАВЫ   (UNV)                    D,69,40,54
3,***ГОЛУБАЯ ВОЛНА  (Univ)                      D,28,40,54
4,***КОРОБКА (СТЕКЛО)                       D,39,40,54
5,***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,33,40,54
6,***УДАР ПО ВОРОТАМ (UNI)               D,202,40,54
7,***УДАР ПО ВОРОТАМ-2 (UNI)               D,212,40,54
8,***ЧАЙ С МУССОЛИНИ                     D,57,40,54
9,***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,209,40,54
10,*ЗА ГРАНЬЮ СМЕРТИ                       D,0,40,54
11,*ЛИНИЯ СМЕРТИ                           D,48,40,54
12,*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,242,55,54
13,*СПАСАЯ ЭМИЛИ                           D,199,40,54
14,*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,294,40,54
15,//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),103,40,54
16,//МОНГОЛ С.Бодров (Регион),295,40,56
17,//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),90,40,44
18,/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,293,40,25
19,/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,40,40,25
20,/ОДНАЖДЫ В КИТАЕ-2,193,40,54
21,/ПОСЛЕДНИЙ ШАНС,79,40,54
22,/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,293,40,54
23,/СЕВЕР И ЮГ /Ч.2/,67,40,54
24,/СМЕРТЕЛЬНЫЙ РАСКЛАД,89,40,54
25,/ТЫ  - ТРУП,7,40,54
26,/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),273,40,31
27,"007 Legends [PS3, русская версия]",156,19,19
28,"007 Legends [PС, Jewel, русская версия]",5,30,15
29,"007 Legends [Xbox 360, русская версия]",64,23,28
30,007: КООРДИНАТЫ «СКАЙФОЛЛ»,16,40,50
31,007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),127,37,50
32,1+1,179,40,24
33,1+1 (BD),127,37,24
34,10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),277,40,24
35,10 ЛЕТ СПУСТЯ,110,40,25
36,10 ЛЕТ СПУСТЯ (BD),216,37,42
37,10 ЛЕТ СПУСТЯ (регион),103,40,42
38,10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),158,41,54
39,10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),93,41,15
40,100 Best classical melodies (mp3-CD) (Digipack),141,57,28
41,100 Best relax melodies (mp3-CD) (CD-Digipack),189,57,21
42,100 Best romantic melodies (mp3-CD) (Digipack),63,57,25
43,100 МИЛЛИОНОВ ЕВРО,60,40,28
44,100 лучших мелодий против стресса (mp3-CD) (CD-Digipack),290,57,25
45,100 лучших народных песен (mp3-CD) (CD-Digipack),140,57,24
46,100 лучших произведений Баха (mp3-CD) (Digipack),95,57,6
47,100 лучших произведений Бетховена (mp3-CD) (Digipack),7,57,19
48,100 лучших произведений Вивальди (mp3-CD) (CD-Digipack),237,57,25
49,100 лучших произведений Моцарта (mp3-CD) (Digipack),161,57,24
50,100 лучших произведений Рахманинова (mp3-CD) (Jewel),228,57,25
51,100 лучших произведений классики (mp3-CD) (Digipack),8,57,24
52,100 лучших произведений фортепианной музыки (mp3-CD) (CD-Digipack),295,57,25
53,100 лучших русских романсов (mp3-CD) (CD-Digipack),291,57,25
54,100 лучших цыганских романсов (mp3-CD) (CD-Digipack),41,57,25
55,100 любимых маленьких сказок (mp3-CD) (Jewel),248,43,6
56,100 любимых песен. Александра Пахмутова (подар. уп.) (mp3-CD) (Jewel),42,57,28
57,100 пудов из мультхитов (подар. уп.) (mp3-CD) (Jewel),265,57,16
58,"100 чудес России [PC, Цифровая версия]",88,78,55
